idstate,year,txrate,name,aland,ycoord,xcoord,land,state,price,pop,pop16,cpi,ndi,sales,pimin,comp,ppp,spp,mppp,ipc,ncom,lnprice,lnsales,lncomp,lnndi,lntxrate,lnland,lnpop,lnpop16,lncpi,lnminp,lnsales_lag,lnprice_lag,lnndi_lag,lncomp_lag,lntxrate_lag,lnland_lag,lnpop_lag,lnpop16_lag,lncpi_lag
AL,63,.059999999,Alabama,131200000000,32.739632,-86.84346,50645.352,1,28.6,3383,2236.5,30.6,1558.3046,93.900002,26.1,4197,.93464053,142.0361,.85294122,50.92498,137.15691,-.067593299,4.9560809,4.9211249,3.9303541,-2.813411,10.8326,8.1265182,7.712667,3.421,-.1590647,,,,,,,,,
AL,64,.059999999,Alabama,131200000000,32.739632,-86.84346,50645.352,1,29.799999,3431,2276.7,31,1684.0732,95.400002,27.5,4587,.9612903,143.7684,.88709682,54.32494,147.9677,-.039478801,4.968204,4.996994,3.994983,-2.813411,10.8326,8.1406069,7.7304821,3.4339869,-.1198012,4.9560809,-.067593299,3.9303541,4.9211249,-2.813411,10.8326,8.1265182,7.712667,3.421
AL,65,.059999999,Alabama,131200000000,32.739632,-86.84346,50645.352,1,29.799999,3486,2327.5,31.5,1809.8419,98.5,28.9,4994,.94603169,147.5278,.91746032,57.455299,158.5397,-.055479199,4.9940171,5.0660052,4.0510068,-2.813411,10.8326,8.1565104,7.7525501,3.4499879,-.0861459,4.968204,-.039478801,3.994983,4.996994,-2.813411,10.8326,8.1406069,7.7304821,3.4339869
AL,66,.07,Alabama,131200000000,32.739632,-86.84346,50645.352,1,31.5,3524,2369.7,32.400002,1915.1604,96.400002,29.5,5502,.97222209,143.35719,.91049379,59.10989,169.8148,-.028170999,4.9653401,5.1347079,4.0793982,-2.65926,10.8326,8.1673517,7.7705188,3.478158,-.093768202,4.9940171,-.055479199,4.0510068,5.0660052,-2.813411,10.8326,8.1565104,7.7525501,3.4499879
AL,67,.07,Alabama,131200000000,32.739632,-86.84346,50645.352,1,31.6,3533,2393.7,33.400002,2023.5464,95.5,29.6,5836,.94610769,140.95399,.88622749,60.58522,174.7305,-.055398799,4.9484329,5.1632452,4.1040511,-2.65926,10.8326,8.1699028,7.7805958,3.5085559,-.1207816,4.9653401,-.028170999,4.0793982,5.1347079,-2.65926,10.8326,8.1673517,7.7705188,3.478158
AL,68,.1,Alabama,131200000000,32.739632,-86.84346,50645.352,1,35.599998,3522,2405.2,34.799999,2202.4856,88.400002,32,6378,1.022988,129.4465,.91954023,63.289822,183.27589,.022728199,4.8632679,5.2109919,4.1477251,-2.3025849,10.8326,8.1667843,7.785388,3.5496171,-.083881497,4.9484329,-.055398799,4.1040511,5.1632452,-2.65926,10.8326,8.1699028,7.7805958,3.5085559
AL,69,.1,Alabama,131200000000,32.739632,-86.84346,50645.352,1,36.599998,3531,2411.8999,36.700001,2377.3347,90.099998,32.799999,7036,.99727511,131.90559,.89373291,64.777512,191.7166,-.0027286001,4.8820858,5.2560182,4.170959,-2.3025849,10.8326,8.1693363,7.7881699,3.602777,-.1123483,4.8632679,.022728199,4.1477251,5.2109919,-2.3025849,10.8326,8.1667843,7.785388,3.5496171
AL,70,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,39.599998,3444,2394.6001,38.799999,2591.0391,89.800003,34.299999,7586,1.020619,129.15359,.88402063,66.779358,195.5155,.0204089,4.861002,5.27564,4.2013941,-2.1202641,10.8326,8.1443892,7.780972,3.6584201,-.1232749,4.8820858,-.0027286001,4.170959,5.2560182,-2.3025849,10.8326,8.1693363,7.7881699,3.602777
AL,71,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,42.700001,3481,2443.5,40.5,2785.3159,95.400002,35.799999,8226,1.0543211,135.9064,.88395059,68.773232,203.1111,.052896999,4.9119668,5.3137531,4.230814,-2.1202641,10.8326,8.1550751,7.801187,3.7013021,-.1233541,4.861002,.0204089,4.2013941,5.27564,-2.1202641,10.8326,8.1443892,7.780972,3.6584201
AL,72,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,42.299999,3511,2484.7,41.799999,3034.8083,101.1,37.400002,9139,1.0119621,142.8591,.89473689,72.603073,218.6364,.0118907,4.9618592,5.3874102,4.285007,-2.1202641,10.8326,8.1636562,7.8179069,3.7328961,-.1112256,4.9119668,.052896999,4.230814,5.3137531,-2.1202641,10.8326,8.1550751,7.801187,3.7013021
AL,73,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,42.099998,3540,2526,44.400002,3387.574,102.9,37.299999,10353,.94819808,144.2066,.84008998,76.296707,233.1757,-.0531918,4.9712472,5.4517918,4.33463,-2.1202641,10.8326,8.1718817,7.8343921,3.7932401,-.17424621,4.9618592,.0118907,4.285007,5.3874102,-2.1202641,10.8326,8.1636562,7.8179069,3.7328961
AL,74,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,43.099998,3574,2573.8999,49.299999,3718.8672,108.2,41.400002,11641,.87423933,150.24159,.83975661,75.433411,236.12579,-.1344011,5.0122452,5.464365,4.3232498,-2.1202641,10.8326,8.1814404,7.853178,3.8979239,-.1746432,4.9712472,-.0531918,4.33463,5.4517918,-2.1202641,10.8326,8.1718817,7.8343921,3.7932401
AL,75,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,46.599998,3614,2623.7,53.799999,4087.9932,111.7,43,12533,.866171,153.8605,.7992565,75.985001,232.9554,-.1436729,5.036047,5.4508471,4.3305359,-2.1202641,10.8326,8.1925707,7.8723412,3.9852729,-.2240734,5.0122452,-.1344011,4.3232498,5.464365,-2.1202641,10.8326,8.1814404,7.853178,3.8979239
AL,76,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,50.400002,3657,2677.3999,56.900002,4486.772,116.2,46.400002,14302,.88576448,158.715,.81546569,78.853638,251.3532,-.1213042,5.0671101,5.5268588,4.3675928,-2.1202641,10.8326,8.2043982,7.892601,4.041296,-.2039959,5.036047,-.1436729,4.3305359,5.4508471,-2.1202641,10.8326,8.1925707,7.8723412,3.9852729
AL,77,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,50.099998,3690,2719.6001,60.599998,4899.8657,117.1,48.799999,16084,.8267327,158.8833,.80528051,80.855873,265.41251,-.1902739,5.0681701,5.581285,4.3926678,-2.1202641,10.8326,8.2133818,7.9082398,4.1042948,-.2165646,5.0671101,-.1213042,4.3675928,5.5268588,-2.1202641,10.8326,8.2043982,7.892601,4.041296
AL,78,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,55.099998,3728,2764.6001,65.199997,5450.9985,123,53.599998,18231,.84509212,165.8627,.82208592,83.604279,279.61661,-.1683097,5.1111598,5.63342,4.426095,-2.1202641,10.8326,8.2236271,7.9246511,4.1774588,-.19591039,5.0681701,-.1902739,4.3926678,5.581285,-2.1202641,10.8326,8.2133818,7.9082398,4.1042948
AL,79,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,56.799999,3769,2810.7,72.599998,5957.1406,121.4,56.5,20220,.78236908,162.791,.77823693,82.054283,278.51239,-.24542861,5.0924668,5.6294632,4.4073811,-2.1202641,10.8326,8.2345648,7.9411888,4.284965,-.25072429,5.1111598,-.1683097,4.426095,5.63342,-2.1202641,10.8326,8.2236271,7.9246511,4.1774588
AL,80,.12,Alabama,131200000000,32.739632,-86.84346,50645.352,1,60.599998,3894,2898.8999,82.400002,6466.3501,123.2,59.299999,22078,.73543692,165.4906,.71966022,78.475121,267.93689,-.30729061,5.1089139,5.5907521,4.362782,-2.1202641,10.8326,8.2671919,7.972086,4.4115849,-.32897621,5.0924668,-.24542861,4.4073811,5.6294632,-2.1202641,10.8326,8.2345648,7.9411888,4.284965
AL,81,.16,Alabama,131200000000,32.739632,-86.84346,50645.352,1,68.800003,3917,2924.7,90.900002,7042.0229,119.6,62.599998,23952,.75687569,160.17821,.68866879,77.470001,263.49841,-.27855629,5.0762868,5.5740471,4.3498912,-1.832582,10.8326,8.2730818,7.980947,4.5097599,-.37299481,5.1089139,-.30729061,4.362782,5.5907521,-2.1202641,10.8326,8.2671919,7.972086,4.4115849
AL,82,.16,Alabama,131200000000,32.739632,-86.84346,50645.352,1,73.099998,3943,2953.5,96.5,7505.2202,119.1,67.800003,24935,.75751293,159.0016,.7025907,77.7743,258.3938,-.2777147,5.0689139,5.5544848,4.3538108,-1.832582,10.8326,8.2796974,7.990746,4.5695429,-.35298079,5.0762868,-.27855629,4.3498912,5.5740471,-1.832582,10.8326,8.2730818,7.980947,4.5097599
AL,83,.16,Alabama,131200000000,32.739632,-86.84346,50645.352,1,84.400002,3959,2977.5,99.599998,7974.5518,116.3,78.599998,26647,.84738958,154.63699,.78915662,80.065781,267.54019,-.1655947,5.04108,5.5892701,4.3828492,-1.832582,10.8326,8.2837467,7.9988389,4.601162,-.23679049,5.0689139,-.2777147,4.3538108,5.5544848,-1.832582,10.8326,8.2796974,7.990746,4.5695429
AL,84,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,90.800003,3990,3009.1001,103.9,8693.376,113,86.800003,29247,.87391722,149.83549,.8354187,83.670609,281.49179,-.1347696,5.0095382,5.6401029,4.426888,-1.80181,10.8326,8.2915468,8.0093966,4.6434288,-.17982221,5.04108,-.1655947,4.3828492,5.5892701,-1.832582,10.8326,8.2837467,7.9988389,4.601162
AL,85,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,99,4020,3039.8,107.6,9059.4346,114.5,90.699997,31564,.92007428,151.4211,.84293681,84.195488,293.3457,-.083300799,5.0200648,5.6813521,4.4331412,-1.80181,10.8326,8.299037,8.0195475,4.678421,-.1708633,5.0095382,-.1347696,4.426888,5.6401029,-1.80181,10.8326,8.2915468,8.0093966,4.6434288
AL,86,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,103,4050,3072.3999,109.6,9674.9854,116.3,98.800003,33495,.93978101,153.30521,.90145987,88.275414,305.6113,-.062108401,5.0324311,5.7223139,4.4804621,-1.80181,10.8326,8.3064718,8.0302143,4.6968369,-.1037397,5.0200648,-.083300799,4.4331412,5.6813521,-1.80181,10.8326,8.299037,8.0195475,4.678421
AL,87,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,110,4083,3104,113.6,10213.848,114,103.5,35734,.96830988,149.95551,.91109163,89.910629,314.55991,-.032203101,5.0103388,5.751174,4.498816,-1.80181,10.8326,8.3145876,8.0404472,4.7326841,-.093111902,5.0324311,-.062108401,4.4804621,5.7223139,-1.80181,10.8326,8.3064718,8.0302143,4.6968369
AL,88,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,114.4,4102,3124,118.3,10993,112.1,109.2,38226,.96703303,147.194,.92307693,92.924767,323.12759,-.033522699,4.9917521,5.778048,4.5317898,-1.80181,10.8326,8.3192301,8.0468693,4.7732239,-.080042802,5.0103388,-.032203101,4.498816,5.751174,-1.80181,10.8326,8.3145876,8.0404472,4.7326841
AL,89,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,122.3,4118,3140,124,11634,105.6,121.5,40405,.98629028,138.49071,.97983873,93.822578,325.8468,-.0138045,4.9308028,5.786427,4.5414062,-1.80181,10.8326,8.323123,8.0519781,4.820282,-.0203673,4.9917521,-.033522699,4.5317898,5.778048,-1.80181,10.8326,8.3192301,8.0468693,4.7732239
AL,90,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,139.10001,4129.2002,3148.6001,130.7,12806,108.6,132.3,43143,1.0642689,142.42239,1.012242,97.98011,330.0918,.062288601,4.958797,5.7993708,4.584764,-1.80181,10.8326,8.325839,8.0547132,4.8729048,.0121675,4.9308028,-.0138045,4.5414062,5.786427,-1.80181,10.8326,8.323123,8.0519781,4.820282
