Kod,Nazwa,z dochodem z działalności rolniczej;2020;[gosp.],z dochodem z pozarolniczej działalności gospodarczej;2020;[gosp.],z dochodem z pracy najemnej;2020;[gosp.],z dochodem z emerytury i renty;2020;[gosp.],z dochodem z innych niezarobkowych źródeł poza emeryturą i rentą;2020;[gosp.]
2201012,Borzytuchom (2),186,33,103,40,26
2201023,Bytów (3),578,141,302,171,111
2201032,Czarna Dąbrówka (2),419,78,181,96,34
2201042,Kołczygłowy (2),218,33,112,65,46
2201052,Lipnica (2),620,102,243,157,124
2201063,Miastko (3),496,122,212,160,42
2201072,Parchowo (2),318,57,151,99,100
2201082,Studzienice (2),242,48,111,68,29
2201092,Trzebielino (2),160,25,68,46,12
2201102,Tuchomie (2),348,66,170,103,117
2202011,Chojnice (1),84,27,30,34,9
2202023,Brusy (3),829,110,304,200,238
2202032,Chojnice (2),938,145,345,175,106
2202043,Czersk (3),751,119,275,187,112
2202052,Konarzyny (2),202,18,75,39,12
2203011,Człuchów (1),41,10,17,12,3
2203023,Czarne (3),173,29,73,47,26
2203032,Człuchów (2),576,111,249,145,60
2203043,Debrzno (3),396,43,120,70,25
2203052,Koczała (2),154,28,66,47,22
2203062,Przechlewo (2),285,51,130,65,32
2203072,Rzeczenica (2),225,36,102,92,38
2204011,Pruszcz Gdański (1),33,10,16,5,0
2204022,Cedry Wielkie (2),253,33,95,54,36
2204032,Kolbudy (2),137,28,53,47,0
2204042,Pruszcz Gdański (2),424,106,136,142,73
2204052,Przywidz (2),296,57,154,82,27
2204062,Pszczółki (2),202,34,81,40,18
2204072,Suchy Dąb (2),229,70,40,39,15
2204082,Trąbki Wielkie (2),353,72,133,77,67
2205012,Chmielno (2),430,84,158,115,125
2205023,Kartuzy (3),816,149,373,245,172
2205032,Przodkowo (2),592,85,239,123,99
2205042,Sierakowice (2),1088,170,382,214,188
2205052,Somonino (2),448,81,205,127,79
2205062,Stężyca (2),625,72,217,92,72
2205072,Sulęczyno (2),446,54,146,62,94
2205083,Żukowo (3),726,120,243,214,126
2206011,Kościerzyna (1),71,27,22,16,5
2206022,Dziemiany (2),237,128,102,80,80
2206032,Karsin (2),469,97,110,106,52
2206042,Kościerzyna (2),836,130,347,207,73
2206052,Liniewo (2),365,73,109,82,22
2206062,Lipusz (2),168,37,60,45,18
2206072,Nowa Karczma (2),486,53,174,89,73
2206082,Stara Kiszewa (2),609,94,179,122,52
2207011,Kwidzyn (1),37,13,17,12,3
2207022,Gardeja (2),376,141,82,83,88
2207032,Kwidzyn (2),423,50,146,100,31
2207043,Prabuty (3),428,48,128,92,49
2207052,Ryjewo (2),188,25,51,35,35
2207062,Sadlinki (2),385,67,119,79,28
2208011,Lębork (1),68,15,22,21,6
2208021,Łeba (1),20,7,6,8,4
2208032,Cewice (2),289,43,139,78,56
2208042,Nowa Wieś Lęborska (2),540,103,227,121,79
2208052,Wicko (2),280,70,125,78,43
2209011,Malbork (1),40,13,12,15,11
2209032,Lichnowy (2),99,8,40,22,10
2209042,Malbork (2),238,108,81,58,62
2209062,Miłoradz (2),144,8,59,25,24
2209073,Nowy Staw (3),245,24,78,49,25
2209082,Stare Pole (2),146,21,50,30,13
2210011,Krynica Morska (1),10,7,0,5,0
2210023,Nowy Dwór Gdański (3),453,63,143,95,38
2210032,Ostaszewo (2),170,11,64,33,0
2210042,Stegna (2),342,86,125,84,37
2210052,Sztutowo (2),113,31,0,24,30
2211011,Hel (1),0,0,0,0,0
2211023,Jastarnia (3),0,0,0,0,0
2211031,Puck (1),11,0,0,8,0
2211043,Władysławowo (3),81,34,0,21,0
2211052,Kosakowo (2),120,37,32,34,17
2211062,Krokowa (2),392,86,173,109,77
2211072,Puck (2),697,123,276,154,65
2212011,Ustka (1),24,5,13,11,0
2212022,Damnica (2),194,34,80,52,36
2212032,Dębnica Kaszubska (2),222,46,86,34,26
2212042,Główczyce (2),420,45,168,83,53
2212053,Kępice (3),161,27,61,43,61
2212062,Kobylnica (2),395,101,174,94,37
2212072,Potęgowo (2),328,38,175,100,20
2212082,Redzikowo (2),406,170,204,115,69
2212092,Smołdzino (2),215,53,89,48,0
2212102,Ustka (2),334,93,174,104,51
2213013,Czarna Woda (3),39,4,15,7,0
2213021,Skórcz (1),19,3,7,7,0
2213031,Starogard Gdański (1),69,28,26,20,8
2213042,Bobowo (2),199,53,42,36,64
2213052,Kaliska (2),156,38,77,34,16
2213062,Lubichowo (2),343,52,151,66,63
2213072,Osieczna (2),156,23,65,46,29
2213082,Osiek (2),188,28,85,59,9
2213093,Skarszewy (3),520,85,192,107,89
2213102,Skórcz (2),322,35,130,67,96
2213112,Smętowo Graniczne (2),203,31,88,63,9
2213122,Starogard Gdański (2),609,232,231,153,137
2213132,Zblewo (2),465,88,201,118,121
2214011,Tczew (1),32,7,13,6,3
2214023,Gniew (3),475,56,176,106,40
2214032,Morzeszczyn (2),171,27,37,31,12
2214043,Pelplin (3),276,26,105,49,25
2214052,Subkowy (2),231,32,74,34,51
2214062,Tczew (2),528,93,203,123,48
2215011,Reda (1),65,19,21,24,6
2215021,Rumia (1),84,21,26,19,15
2215031,Wejherowo (1),41,15,14,11,3
2215042,Choczewo (2),177,78,48,49,22
2215052,Gniewino (2),181,43,73,48,20
2215062,Linia (2),468,148,176,110,155
2215072,Luzino (2),434,89,165,114,123
2215082,Łęczyce (2),384,70,165,121,102
2215092,Szemud (2),865,160,363,200,167
2215102,Wejherowo (2),376,94,129,83,90
2216013,Dzierzgoń (3),265,34,58,40,15
2216022,Mikołajki Pomorskie (2),131,15,36,33,18
2216032,Stary Dzierzgoń (2),294,37,82,75,58
2216042,Stary Targ (2),254,51,91,57,19
2216053,Sztum (3),282,52,123,85,32
2261011,Gdańsk (1),477,91,162,124,52
2262011,Gdynia (1),161,0,64,51,0
2263011,Słupsk (1),100,25,40,26,10
2264011,Sopot (1),10,0,5,0,0
